timestamp,range_regime,S1_direction,S1_pct_change,S1_range,S2_direction,S2_pct_change,S2_range,S3_direction,S3_pct_change,S3_range,S4_direction,S4_pct_change,S4_range
2021-03-01 00:00:00+00:00,Normal Range,Up,2.365251456,1863.67,Up,3.221117501,2279,Up,1.808444717,2001.38,Up,2.069643148,1909
2021-03-02 00:00:00+00:00,High Range,Down,-1.792297972,1559.51,Up,0.3179767408,1005.23,Down,-2.022142185,2490.72,Up,1.196147365,1441.94
2021-03-03 00:00:00+00:00,Low Range,Up,1.29712155,1376.82,Up,5.375985683,2767.85,Down,-0.727262814,2176.51,Down,-1.891959479,1356.75
2021-03-04 00:00:00+00:00,High Range,Down,-1.393384451,2730,Down,-0.6470465666,2215.66,Down,-1.638809778,2304.34,Down,-0.3212084293,1242.33
2021-03-05 00:00:00+00:00,Normal Range,Down,-2.491992997,2084.52,Up,0.6627808393,1136.5,Up,1.266194594,1840.45,Up,1.406660491,1547.43
2021-03-06 00:00:00+00:00,Low Range,Down,-0.5377600739,1059,Down,-0.6706809262,1216.58,Up,0.1370211575,1360,Up,1.367611251,1133.63
2021-03-07 00:00:00+00:00,Low Range,Up,0.9799581706,1029.59,Up,2.749359656,2010.53,Up,0.7288495012,1237.77,Down,-0.235368551,1680
2021-03-08 00:00:00+00:00,Low Range,Down,-0.4413493661,1745.36,Down,-0.4672784899,1620,Up,0.6442823332,1129.51,Up,3.096649588,1652.6
2021-03-09 00:00:00+00:00,Low Range,Up,3.540397063,2603.65,Up,0.0264342467,1177.15,Down,-0.8368876611,1223.78,Up,1.991268734,1297
2021-03-10 00:00:00+00:00,Low Range,Down,-2.224161283,2829,Up,2.287735919,1957.12,Up,3.650834483,2320.25,Down,-1.730691272,1887.51
2021-03-11 00:00:00+00:00,High Range,Down,-1.04290849,1341.81,Up,1.65891218,1981.56,Up,1.027853786,1523.84,Up,1.726686115,1683
2021-03-12 00:00:00+00:00,Normal Range,Down,-1.0664451,1786.33,Down,-1.160700446,1606.02,Up,1.224064109,2765.7,Up,0.06478156787,1432.47
2021-03-13 00:00:00+00:00,Low Range,Down,-0.8271275927,1235.04,Up,5.437261789,3819.19,Up,0.750551869,1314.86,Up,1.496133144,1928
2021-03-14 00:00:00+00:00,High Range,Down,-0.2574125461,998,Down,-1.132307964,1751,Down,-1.047705351,1305.96,Down,-1.250552816,1828.85
2021-03-15 00:00:00+00:00,Low Range,Up,0.1709263885,1970,Down,-4.998604115,4931.71,Down,-0.1584136422,2242,Down,-0.7958387692,1430
2021-03-16 00:00:00+00:00,High Range,Down,-2.689525921,2780,Up,2.546398593,2739.15,Down,-0.3929500228,1450,Up,2.971787625,1819.98
2021-03-17 00:00:00+00:00,Normal Range,Down,-1.712861588,2021.72,Down,-1.964950867,1981.81,Up,1.278407797,1545.07,Up,6.086377296,3503.07
2021-03-18 00:00:00+00:00,High Range,Up,0.09379397653,948.4,Down,-1.298757419,1195.91,Up,1.853897347,2956.7,Down,-2.730704354,2313.59
2021-03-19 00:00:00+00:00,Normal Range,Up,1.223136703,2148.73,Up,0.8142003778,1425,Up,0.05629985148,1290,Down,-1.406786657,1507.58
2021-03-20 00:00:00+00:00,Normal Range,Up,0.1516118942,1109,Up,1.997020137,1365.42,Down,-0.2395389608,1360.91,Down,-1.775854327,1491.1
2021-03-21 00:00:00+00:00,Low Range,Down,-1.644869226,1838.7,Down,-1.55913719,2075.65,Up,1.76753722,1706.7,Up,0.2159309231,957.41
2021-03-22 00:00:00+00:00,Normal Range,Up,0.4195231262,1557.02,Up,0.2093530209,1380.22,Down,-1.129781578,1575.63,Down,-5.246196469,3594.19
2021-03-23 00:00:00+00:00,High Range,Down,-1.030268859,2254.69,Up,1.401387929,1896.12,Up,2.619239418,1527.57,Down,-2.413595221,1653.12
2021-03-24 00:00:00+00:00,Low Range,Down,-0.4503492647,1219.02,Up,4.499361278,2948.99,Down,-0.7473680955,1634.79,Down,-6.863152152,4734
2021-03-25 00:00:00+00:00,High Range,Up,0.7171193485,1350,Down,-0.9211512103,1143.2,Down,-1.045304845,1926.5,Down,-0.6337344429,1500
2021-03-26 00:00:00+00:00,Low Range,Up,2.924547216,1672.53,Down,-0.1266605144,1450,Up,1.998812343,1510,Up,2.259844066,1678.33
2021-03-27 00:00:00+00:00,Normal Range,Up,0.2898964201,1055.55,Down,-1.285606165,954.5,Up,3.002954662,2299,Down,-0.5132580678,1084.72
2021-03-28 00:00:00+00:00,Low Range,Up,0.8189080748,924.39,Down,-0.8478024188,888.31,Up,0.3176507605,1210,Down,-0.3249325736,1328.87
2021-03-29 00:00:00+00:00,Low Range,Down,-1.304257604,1017.47,Up,5.114521086,3326.66,Up,0.1474979501,1270.11,Down,-0.517560973,972.79
2021-03-30 00:00:00+00:00,Normal Range,Up,0.05595034619,767.91,Up,2.803715645,2010,Down,-0.9206525257,899.77,Up,0.02374949388,829.09
2021-03-31 00:00:00+00:00,Low Range,Down,-0.06493841141,710,Down,-1.155898972,3108,Up,2.166147469,2010.42,Down,-0.8879548186,1263.92
2021-04-01 00:00:00+00:00,Normal Range,Up,0.09618950472,727.21,Down,-0.3802793597,1442.22,Down,-0.1143745264,967.89,Up,0.3762786688,1166.26
2021-04-02 00:00:00+00:00,Low Range,Up,1.464737652,1877.85,Down,-0.007157369434,576.74,Down,-0.6891010624,665.86,Down,-0.357997382,869.97
2021-04-03 00:00:00+00:00,Low Range,Up,0.9140932278,641.62,Down,-0.3611300389,1117.98,Down,-1.777498532,1347.69,Down,-1.991017461,1894
2021-04-04 00:00:00+00:00,Normal Range,Up,0.7026734215,1217.92,Down,-0.3341378713,630.59,Up,1.545884234,1529,Up,0.007315772617,530.55
2021-04-05 00:00:00+00:00,Low Range,Down,-2.207295627,1568.4,Up,1.493804743,991.06,Up,2.151888792,1589.86,Up,0.3395666541,680.28
