timestamp,open,high,low,close,volume,pct_change,range,range_pct,direction,volume_change,date,range_regime,session,session_label
2021-01-21 00:00:00+00:00,35499.23,35636.17,34000,34598.35,62732.803,-2.537745185,1636.17,4.609029548,Down,23.10158531,2021-01-21,Normal Range,1,S1
2021-01-21 06:00:00+00:00,34598.35,35073.29,32050,32247.3,152051.108,-6.795266248,3023.29,8.738249078,Down,142.3789481,2021-01-21,Normal Range,2,S2
2021-01-21 12:00:00+00:00,32247.14,32800,31032.66,31959.98,208104.789,-0.8904975759,1767.34,5.480610063,Down,36.86502633,2021-01-21,Normal Range,3,S3
2021-01-21 18:00:00+00:00,31959.98,32749,30069.9,30879.97,127673.577,-3.379257434,2679.1,8.382671078,Down,-38.64938063,2021-01-21,Normal Range,4,S4
2021-01-22 00:00:00+00:00,30875.77,31920.54,28880,31796.55,168388.677,2.982209027,3040.54,9.847657241,Up,31.8899971,2021-01-22,High Range,1,S1
2021-01-22 06:00:00+00:00,31800,32090.37,30515.55,31743.83,113501.51,-0.1766352201,1574.82,4.952264151,Down,-32.59552125,2021-01-22,High Range,2,S2
2021-01-22 12:00:00+00:00,31743.24,32736,31341.84,32328.17,90614.521,1.842691546,1394.16,4.391990232,Up,-20.16447975,2021-01-22,High Range,3,S3
2021-01-22 18:00:00+00:00,32328.17,33831.52,32192.88,32986.34,81063.83,2.035902434,1638.64,5.068768198,Up,-10.53991225,2021-01-22,High Range,4,S4
2021-01-23 00:00:00+00:00,32990.08,33403,32059.33,33374.22,65622.497,1.164410635,1343.67,4.072951627,Up,-19.04836349,2021-01-23,Normal Range,1,S1
2021-01-23 06:00:00+00:00,33377.14,33495,31533,31663.37,75993.35,-5.134562158,1962,5.878274771,Down,15.80380734,2021-01-23,Normal Range,2,S2
2021-01-23 12:00:00+00:00,31665.1,32434.99,31405,32237.5,68820.975,1.807668379,1029.99,3.252760926,Up,-9.438161365,2021-01-23,Normal Range,3,S3
2021-01-23 18:00:00+00:00,32239.53,32565,31822,32086.48,46339.589,-0.4747277643,743,2.304624168,Down,-32.66647414,2021-01-23,Normal Range,4,S4
2021-01-24 00:00:00+00:00,32086.48,33012.32,31612.77,32896.85,47320.549,2.525580868,1399.55,4.361805969,Up,2.116894045,2021-01-24,Low Range,1,S1
2021-01-24 06:00:00+00:00,32896.85,33125.75,32502.21,32866.87,42515,-0.09113334559,623.54,1.895439837,Down,-10.15531117,2021-01-24,Low Range,2,S2
2021-01-24 12:00:00+00:00,32866.53,32980,31553.8,31859.35,64441.14,-3.064454933,1426.2,4.339368957,Down,51.57271551,2021-01-24,Low Range,3,S3
2021-01-24 18:00:00+00:00,31859.36,32389.81,30914.2,32275.63,57830.355,1.306586196,1475.61,4.631637296,Up,-10.25864068,2021-01-24,Low Range,4,S4
2021-01-25 00:00:00+00:00,32274.88,33863.09,32185,33382,67562.187,3.430283862,1678.09,5.199368673,Up,16.82824185,2021-01-25,Low Range,1,S1
2021-01-25 06:00:00+00:00,33382.01,33607.83,32800,33217.34,54770.151,-0.4932896491,807.83,2.419956138,Down,-18.93372102,2021-01-25,Low Range,2,S2
2021-01-25 12:00:00+00:00,33217.37,34880,33066,33834.72,104213.531,1.85851559,1814,5.460998267,Up,90.27431748,2021-01-25,Low Range,3,S3
2021-01-25 18:00:00+00:00,33833.17,34065,31921.47,32253.68,90141.655,-4.668465887,2143.53,6.335587236,Down,-13.50292603,2021-01-25,Low Range,4,S4
